Point ID,arc_length,B_0,B_1,B_2,B_Magnitude,p,pB,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,Ux,Uy,Uz,vtkValidPointMask
0,0,0,20,0,20,7113.7,0.000743182,10,-1,0.05,10.05,0.997012,24.8004,0,0,0,0,0,0,0,1
1,0.00199997,0.00361924,20,0,20,7113.7,0.000742508,10,-0.998,0.05,10.0498,0.997012,24.8004,0.00389064,-1.10573e-06,0,0.00389064,0.00389064,-1.10573e-06,0,1
2,0.00400001,0.00723858,20,0,20,7113.7,0.000741833,10,-0.996,0.05,10.0496,0.997012,24.8004,0.00778139,-2.21149e-06,0,0.00778139,0.00778139,-2.21149e-06,0,1
3,0.00599998,0.0108578,20,0,20,7113.7,0.000741158,10,-0.994,0.05,10.0494,0.997012,24.8004,0.011672,-3.31721e-06,0,0.011672,0.011672,-3.31721e-06,0,1
4,0.00800002,0.0144772,20,0,20,7113.7,0.000740483,10,-0.992,0.05,10.0492,0.997012,24.8004,0.0155628,-4.42297e-06,0,0.0155628,0.0155628,-4.42297e-06,0,1
5,0.00999999,0.0180964,20,0,20,7113.7,0.000739809,10,-0.99,0.05,10.049,0.997012,24.8004,0.0194534,-5.5287e-06,0,0.0194534,0.0194534,-5.5287e-06,0,1
6,0.012,0.0217158,20,0,20,7113.7,0.000739134,10,-0.988,0.05,10.0488,0.997012,24.8004,0.0233442,-6.63446e-06,0,0.0233442,0.0233442,-6.63446e-06,0,1
7,0.014,0.025335,20,0,20,7113.7,0.000738459,10,-0.986,0.05,10.0486,0.997012,24.8004,0.0272348,-7.74018e-06,0,0.0272348,0.0272348,-7.74018e-06,0,1
8,0.016,0.0289542,20,0,20,7113.7,0.000737784,10,-0.984,0.05,10.0484,0.997012,24.8004,0.0311255,-8.84591e-06,0,0.0311255,0.0311255,-8.84591e-06,0,1
9,0.018,0.0325736,20,0,20,7113.7,0.00073711,10,-0.982,0.05,10.0482,0.997012,24.8004,0.0350162,-9.95167e-06,0,0.0350162,0.0350162,-9.95167e-06,0,1
10,0.02,0.0361928,20,0,20,7113.7,0.000736435,10,-0.98,0.05,10.048,0.997012,24.8004,0.0389068,-1.10574e-05,0,0.0389068,0.0389068,-1.10574e-05,0,1
