Point ID,arc_length,B_0,B_1,B_2,B_Magnitude,p,pB,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,Ux,Uy,Uz,vtkValidPointMask
0,0,0,20,0,20,100208,-0.966321,10,-1,0.05,10.05,0.998954,348.673,0,0,0,0,0,0,0,1
1,0.00199997,0.0255816,20,0,20,100208,-0.965499,10,-0.998,0.05,10.0498,0.998954,348.673,0.0276557,-3.19024e-05,0,0.0276558,0.0276557,-3.19024e-05,0,1
2,0.00400001,0.051164,20,0,20.0001,100208,-0.964676,10,-0.996,0.05,10.0496,0.998954,348.673,0.0553123,-6.38058e-05,0,0.0553124,0.0553123,-6.38058e-05,0,1
3,0.00599998,0.0767456,20,0,20.0002,100208,-0.963854,10,-0.994,0.05,10.0494,0.998954,348.673,0.0829681,-9.57082e-05,0,0.0829681,0.0829681,-9.57082e-05,0,1
4,0.00800002,0.102328,20.0001,0,20.0003,100208,-0.963032,10,-0.992,0.05,10.0492,0.998954,348.673,0.110625,-0.000127612,0,0.110625,0.110625,-0.000127612,0,1
5,0.00999999,0.12791,20.0001,0,20.0005,100208,-0.96221,10,-0.99,0.05,10.049,0.998954,348.673,0.13828,-0.000159514,0,0.13828,0.13828,-0.000159514,0,1
6,0.012,0.153492,20.0001,0,20.0007,100208,-0.961388,10,-0.988,0.05,10.0488,0.998954,348.673,0.165937,-0.000191417,0,0.165937,0.165937,-0.000191417,0,1
7,0.014,0.179074,20.0001,0,20.0009,100208,-0.960565,10,-0.986,0.05,10.0486,0.998954,348.673,0.193593,-0.00022332,0,0.193593,0.193593,-0.00022332,0,1
8,0.016,0.204655,20.0001,0,20.0012,100208,-0.959743,10,-0.984,0.05,10.0484,0.998953,348.673,0.221248,-0.000255222,0,0.221249,0.221248,-0.000255222,0,1
9,0.018,0.230238,20.0001,0,20.0015,100208,-0.958921,10,-0.982,0.05,10.0482,0.998953,348.673,0.248905,-0.000287126,0,0.248905,0.248905,-0.000287126,0,1
10,0.02,0.255819,20.0002,0,20.0018,100207,-0.958099,10,-0.98,0.05,10.048,0.998953,348.673,0.276561,-0.000319028,0,0.276561,0.276561,-0.000319028,0,1
11,0.022,0.281402,20.0002,0,20.0022,100207,-0.957276,10,-0.978,0.05,10.0478,0.998953,348.673,0.304217,-0.000350932,0,0.304218,0.304217,-0.000350932,0,1
12,0.024,0.306983,20.0002,0,20.0025,100207,-0.956454,10,-0.976,0.05,10.0476,0.998953,348.673,0.331873,-0.000382834,0,0.331873,0.331873,-0.000382834,0,1
13,0.026,0.332566,20.0002,0,20.003,100207,-0.955632,10,-0.974,0.05,10.0474,0.998953,348.673,0.35953,-0.000414737,0,0.35953,0.35953,-0.000414737,0,1
14,0.028,0.358147,20.0002,0,20.0034,100207,-0.95481,10,-0.972,0.05,10.0473,0.998953,348.673,0.387185,-0.00044664,0,0.387186,0.387185,-0.00044664,0,1
15,0.03,0.383729,20.0002,0,20.0039,100207,-0.953988,10,-0.97,0.05,10.0471,0.998953,348.673,0.414841,-0.000478542,0,0.414841,0.414841,-0.000478542,0,1
16,0.032,0.409311,20.0003,0,20.0044,100207,-0.953165,10,-0.968,0.05,10.0469,0.998953,348.673,0.442498,-0.000510446,0,0.442498,0.442498,-0.000510446,0,1
17,0.034,0.434893,20.0003,0,20.005,100207,-0.952343,10,-0.966,0.05,10.0467,0.998953,348.673,0.470153,-0.000542348,0,0.470154,0.470153,-0.000542348,0,1
18,0.036,0.460475,20.0003,0,20.0056,100207,-0.951521,10,-0.964,0.05,10.0465,0.998953,348.673,0.49781,-0.000574251,0,0.49781,0.49781,-0.000574251,0,1
19,0.038,0.486057,20.0003,0,20.0062,100207,-0.950699,10,-0.962,0.05,10.0463,0.998953,348.673,0.525466,-0.000606154,0,0.525466,0.525466,-0.000606154,0,1
20,0.04,0.511639,20.0003,0,20.0069,100207,-0.949876,10,-0.96,0.05,10.0461,0.998953,348.673,0.553122,-0.000638057,0,0.553123,0.553122,-0.000638057,0,1
