Point ID,Ma,mag(U),p,Points_0,Points_1,Points_2,Points_Magnitude,T
0,0.660643,219.31,102587,0.0184596,0,0.166667,0.167686,274.264
1,0.660771,219.348,102571,0,0,0.166667,0.166667,274.251
2,0.660388,219.235,102617,0.0361669,0,0.166667,0.170546,274.287
3,0.66005,219.134,102653,0.0531526,0,0.166667,0.174937,274.315
4,0.659573,218.991,102702,0.0694461,0,0.166667,0.180556,274.353
5,0.658968,218.809,102762,0.0850756,0,0.166667,0.187125,274.401
6,0.65821,218.58,102835,0.100068,0,0.166667,0.1944,274.458
7,0.65729,218.302,102923,0.11445,0,0.166667,0.202179,274.528
8,0.656189,217.969,103027,0.128245,0,0.166667,0.210296,274.61
9,0.654891,217.576,103149,0.141478,0,0.166667,0.218618,274.705
10,0.653376,217.116,103289,0.154172,0,0.166667,0.227039,274.816
11,0.65162,216.583,103451,0.166349,0,0.166667,0.235478,274.943
12,0.649601,215.969,103637,0.178029,0,0.166667,0.243869,275.089
13,0.647291,215.266,103848,0.189234,0,0.166667,0.252165,275.255
14,0.644662,214.464,104086,0.199981,0,0.166667,0.260327,275.442
15,0.641679,213.554,104356,0.210291,0,0.166667,0.268328,275.654
16,0.63831,212.524,104660,0.220181,0,0.166667,0.276147,275.891
17,0.634508,211.36,105000,0.229667,0,0.166667,0.283769,276.158
18,0.630233,210.049,105382,0.238767,0,0.166667,0.291183,276.455
19,0.625421,208.571,105810,0.247496,0,0.166667,0.298383,276.789
20,0.620017,206.907,106288,0.25587,0,0.166667,0.305364,277.16
21,0.613929,205.029,106825,0.263902,0,0.166667,0.312125,277.576
22,0.60708,202.911,107425,0.271606,0,0.166667,0.318666,278.04
23,0.599324,200.507,108103,0.278997,0,0.166667,0.324988,278.562
24,0.590545,197.776,108863,0.286087,0,0.166667,0.331094,279.146
25,0.580489,194.64,109733,0.292888,0,0.166667,0.336988,279.811
26,0.56896,191.029,110718,0.299411,0,0.166667,0.342673,280.562
27,0.555422,186.774,111870,0.305669,0,0.166667,0.348154,281.435
28,0.539508,181.746,113205,0.311671,0,0.166667,0.353436,282.444
29,0.519768,175.46,114795,0.317429,0,0.166667,0.358524,283.625
30,0.496775,168.104,116666,0.322953,0,0.166667,0.363423,285.003
31,0.465219,157.776,118227,0.328251,0,0.166667,0.368139,286.277
32,0.436019,148.546,121585,0.333333,0,0.166667,0.372678,288.913
33,0.462124,157.469,121584,0.338281,0.00202571,0.166667,0.377115,289.118
34,0.520347,176.413,117146,0.343253,0.00399023,0.166667,0.381597,286.111
35,0.564108,190.451,113730,0.348249,0.00589326,0.166667,0.386121,283.727
36,0.60302,202.706,110365,0.353268,0.00773451,0.166667,0.390686,281.263
37,0.636545,213.079,107285,0.358309,0.00951371,0.166667,0.395289,278.902
38,0.666245,222.117,104441,0.363372,0.0112306,0.166667,0.399929,276.642
39,0.693077,230.156,101771,0.368456,0.0128848,0.166667,0.404603,274.474
40,0.717647,237.42,99263,0.37356,0.0144763,0.166667,0.409309,272.412
41,0.740382,244.06,96904.4,0.378682,0.0160046,0.166667,0.414046,270.451
42,0.761772,250.24,94670.7,0.383824,0.0174696,0.166667,0.418812,268.577
43,0.782148,256.066,92532.6,0.388983,0.0188711,0.166667,0.423606,266.766
44,0.801892,261.66,90469.3,0.394159,0.0202088,0.166667,0.428425,265.001
45,0.820715,266.944,88508.9,0.399351,0.0214826,0.166667,0.433267,263.304
46,0.838441,271.865,86651.1,0.404559,0.0226922,0.166667,0.438133,261.675
47,0.855147,276.45,84885.9,0.409781,0.0238375,0.166667,0.443019,260.105
48,0.871488,280.902,83191.2,0.415016,0.0249183,0.166667,0.447926,258.574
49,0.888154,285.443,81558.2,0.420265,0.0259344,0.166667,0.45285,257.076
50,0.905259,290.111,79985.6,0.425526,0.0268857,0.166667,0.457791,255.611
51,0.922208,294.671,78392,0.430798,0.027772,0.166667,0.462748,254.106
52,0.93927,299.224,76803.6,0.436081,0.0285931,0.166667,0.46772,252.586
53,0.957004,304.003,75319.7,0.441373,0.0293491,0.166667,0.472704,251.146
