Point ID,Ma,mag(U),p,Points_0,Points_1,Points_2,Points_Magnitude,T
0,0.66016,219.16,102621,0,0,0.0166667,0.0166667,274.289
1,0.660069,219.132,102630,0.0184596,0,0.0166667,0.0248704,274.294
2,0.659829,219.058,102654,0.0361669,0,0.0166667,0.0398224,274.307
3,0.65944,218.939,102691,0.0531526,0,0.0166667,0.0557044,274.333
4,0.658877,218.767,102745,0.0694461,0,0.0166667,0.0714181,274.371
5,0.658171,218.552,102812,0.0850756,0,0.0166667,0.0866928,274.419
6,0.657357,218.303,102884,0.100068,0,0.0166667,0.101447,274.474
7,0.656421,218.016,102964,0.11445,0,0.0166667,0.115657,274.535
8,0.655313,217.676,103060,0.128245,0,0.0166667,0.129324,274.605
9,0.653986,217.268,103177,0.141478,0,0.0166667,0.142457,274.689
10,0.652438,216.794,103314,0.154172,0,0.0166667,0.15507,274.789
11,0.650698,216.259,103464,0.166349,0,0.0166667,0.167182,274.901
12,0.648731,215.654,103634,0.178029,0,0.0166667,0.178808,275.026
13,0.646452,214.953,103834,0.189234,0,0.0166667,0.189966,275.17
14,0.643821,214.144,104067,0.199981,0,0.0166667,0.200675,275.338
15,0.640865,213.234,104328,0.210291,0,0.0166667,0.21095,275.528
16,0.637597,212.227,104612,0.220181,0,0.0166667,0.220811,275.737
17,0.633983,211.111,104922,0.229667,0,0.0166667,0.230271,275.964
18,0.629909,209.85,105272,0.238767,0,0.0166667,0.239348,276.216
19,0.625224,208.4,105680,0.247496,0,0.0166667,0.248057,276.508
20,0.61984,206.732,106156,0.25587,0,0.0166667,0.256412,276.847
21,0.613785,204.853,106690,0.263902,0,0.0166667,0.264427,277.229
22,0.60711,202.777,107271,0.271606,0,0.0166667,0.272117,277.646
23,0.59975,200.48,107902,0.278997,0,0.0166667,0.279495,278.094
24,0.591527,197.906,108600,0.286087,0,0.0166667,0.286572,278.585
25,0.582133,194.956,109398,0.292888,0,0.0166667,0.293361,279.138
26,0.571285,191.54,110322,0.299411,0,0.0166667,0.299875,279.771
27,0.558673,187.555,111396,0.305669,0,0.0166667,0.306123,280.503
28,0.544052,182.914,112623,0.311671,0,0.0166667,0.312117,281.328
29,0.526507,177.32,114068,0.317429,0,0.0166667,0.317867,282.302
30,0.505055,170.484,115802,0.322953,0,0.0166667,0.323382,283.598
31,0.4752,160.831,117126,0.328251,0,0.0166667,0.328674,285.113
32,0.450851,153.612,120926,0.333333,0,0.0166667,0.33375,288.969
33,0.471198,161.073,122386,0.338281,0.00202571,0.0166667,0.338697,290.888
34,0.521304,177.45,118431,0.343253,0.00399023,0.0166667,0.34368,288.432
35,0.563991,191.153,114606,0.348249,0.00589326,0.0166667,0.348697,285.935
36,0.600296,202.504,110950,0.353268,0.00773451,0.0166667,0.353745,283.263
37,0.633852,212.609,107188,0.358309,0.00951371,0.0166667,0.358823,280.059
38,0.665177,221.831,103686,0.363372,0.0112306,0.0166667,0.363927,276.829
39,0.692847,230.025,100914,0.368456,0.0128848,0.0166667,0.369058,274.341
40,0.717885,237.466,98520.1,0.37356,0.0144763,0.0166667,0.374211,272.339
41,0.741601,244.411,96146.1,0.378682,0.0160046,0.0166667,0.379387,270.341
42,0.764058,250.921,93892,0.383824,0.0174696,0.0166667,0.384583,268.429
43,0.784834,256.911,91775.6,0.388983,0.0188711,0.0166667,0.389797,266.695
44,0.805,262.639,89639.9,0.394159,0.0202088,0.0166667,0.395029,264.932
45,0.825006,268.251,87561.1,0.399351,0.0214826,0.0166667,0.400276,263.13
46,0.84327,273.334,85695.7,0.404559,0.0226922,0.0166667,0.405537,261.489
47,0.860425,278.12,84017.4,0.409781,0.0238375,0.0166667,0.410812,260.036
48,0.878601,283.159,82234.8,0.415016,0.0249183,0.0166667,0.416098,258.51
49,0.897435,288.297,80389.4,0.420265,0.0259344,0.0166667,0.421394,256.846
50,0.914721,293.013,78847.8,0.425526,0.0268857,0.0166667,0.4267,255.382
51,0.930881,297.436,77478.2,0.430798,0.027772,0.0166667,0.432014,254.093
52,0.948471,302.162,75887.4,0.436081,0.0285931,0.0166667,0.437335,252.6
53,0.966449,306.945,74278.6,0.441373,0.0293491,0.0166667,0.442661,251.048
54,0.983846,311.632,72877.1,0.446674,0.0300397,0.0166667,0.447993,249.703
55,1.00418,317.068,71242.7,0.451984,0.0306648,0.0166667,0.453329,248.135
56,1.02432,322.327,69565.8,0.4573,0.0312244,0.0166667,0.458668,246.446
57,1.04183,326.804,68061.5,0.462624,0.0317184,0.0166667,0.464009,244.895
58,1.05912,331.201,66575.6,0.467953,0.0321467,0.0166667,0.469351,243.382
59,1.0764,335.548,65101.1,0.473286,0.0325091,0.0166667,0.474694,241.857
