Point ID,Ma,mag(U),p,Points_0,Points_1,Points_2,Points_Magnitude,T
0,6.601660e-01,2.191620e+02,1.026210e+05,0.000000e+00,0.000000e+00,1.666667e-02,1.666667e-02,2.742890e+02
1,6.601370e-01,2.191520e+02,1.026200e+05,1.845962e-02,0.000000e+00,1.666667e-02,2.487037e-02,2.742875e+02
2,6.599835e-01,2.191025e+02,1.026290e+05,3.616695e-02,0.000000e+00,1.666667e-02,3.982243e-02,2.742920e+02
3,6.596355e-01,2.189945e+02,1.026595e+05,5.315265e-02,0.000000e+00,1.666667e-02,5.570441e-02,2.743120e+02
4,6.591215e-01,2.188370e+02,1.027060e+05,6.944612e-02,0.000000e+00,1.666667e-02,7.141808e-02,2.743450e+02
5,6.584795e-01,2.186400e+02,1.027625e+05,8.507559e-02,0.000000e+00,1.666667e-02,8.669276e-02,2.743855e+02
6,6.577210e-01,2.184065e+02,1.028265e+05,1.000681e-01,0.000000e+00,1.666667e-02,1.014466e-01,2.744315e+02
7,6.568105e-01,2.181260e+02,1.029025e+05,1.144496e-01,0.000000e+00,1.666667e-02,1.156568e-01,2.744865e+02
8,6.556965e-01,2.177835e+02,1.029985e+05,1.282451e-01,0.000000e+00,1.666667e-02,1.293235e-01,2.745555e+02
9,6.543750e-01,2.173775e+02,1.031140e+05,1.414783e-01,0.000000e+00,1.666667e-02,1.424566e-01,2.746390e+02
10,6.528320e-01,2.169040e+02,1.032490e+05,1.541722e-01,0.000000e+00,1.666667e-02,1.550705e-01,2.747370e+02
11,6.510275e-01,2.163505e+02,1.034090e+05,1.663488e-01,0.000000e+00,1.666667e-02,1.671817e-01,2.748530e+02
12,6.489230e-01,2.157050e+02,1.035990e+05,1.780292e-01,0.000000e+00,1.666667e-02,1.788076e-01,2.749915e+02
13,6.465280e-01,2.149710e+02,1.038150e+05,1.892336e-01,0.000000e+00,1.666667e-02,1.899661e-01,2.751510e+02
14,6.438735e-01,2.141575e+02,1.040510e+05,1.999813e-01,0.000000e+00,1.666667e-02,2.006746e-01,2.753280e+02
15,6.409680e-01,2.132650e+02,1.043040e+05,2.102910e-01,0.000000e+00,1.666667e-02,2.109505e-01,2.755190e+02
16,6.377030e-01,2.122590e+02,1.045890e+05,2.201806e-01,0.000000e+00,1.666667e-02,2.208105e-01,2.757280e+02
17,6.339560e-01,2.111030e+02,1.049215e+05,2.296672e-01,0.000000e+00,1.666667e-02,2.302711e-01,2.759670e+02
18,6.296819e-01,2.097845e+02,1.053040e+05,2.387671e-01,0.000000e+00,1.666667e-02,2.393481e-01,2.762425e+02
19,6.249440e-01,2.083205e+02,1.057245e+05,2.474962e-01,0.000000e+00,1.666667e-02,2.480568e-01,2.765455e+02
20,6.197640e-01,2.067140e+02,1.061735e+05,2.558696e-01,0.000000e+00,1.666667e-02,2.564118e-01,2.768675e+02
21,6.139860e-01,2.049160e+02,1.066685e+05,2.639017e-01,0.000000e+00,1.666667e-02,2.644275e-01,2.772180e+02
22,6.074565e-01,2.028800e+02,1.072275e+05,2.716065e-01,0.000000e+00,1.666667e-02,2.721173e-01,2.776110e+02
23,6.000670e-01,2.005725e+02,1.078605e+05,2.789973e-01,0.000000e+00,1.666667e-02,2.794946e-01,2.780560e+02
24,5.917200e-01,1.979605e+02,1.085745e+05,2.860869e-01,0.000000e+00,1.666667e-02,2.865719e-01,2.785565e+02
25,5.822075e-01,1.949765e+02,1.093905e+05,2.928875e-01,0.000000e+00,1.666667e-02,2.933614e-01,2.791245e+02
26,5.712830e-01,1.915390e+02,1.103270e+05,2.994111e-01,0.000000e+00,1.666667e-02,2.998746e-01,2.797710e+02
27,5.585985e-01,1.875340e+02,1.114125e+05,3.056687e-01,0.000000e+00,1.666667e-02,3.061228e-01,2.805130e+02
28,5.438845e-01,1.828655e+02,1.126540e+05,3.116713e-01,0.000000e+00,1.666667e-02,3.121167e-01,2.813490e+02
29,5.262705e-01,1.772500e+02,1.141065e+05,3.174294e-01,0.000000e+00,1.666667e-02,3.178666e-01,2.823290e+02
30,5.047520e-01,1.703905e+02,1.158405e+05,3.229527e-01,0.000000e+00,1.666667e-02,3.233825e-01,2.836265e+02
31,4.748820e-01,1.607290e+02,1.171520e+05,3.282510e-01,0.000000e+00,1.666667e-02,3.286738e-01,2.851320e+02
32,4.507350e-01,1.535685e+02,1.209170e+05,3.333333e-01,0.000000e+00,1.666667e-02,3.337497e-01,2.889490e+02
33,4.711145e-01,1.610360e+02,1.223740e+05,3.382808e-01,2.025711e-03,1.666667e-02,3.386971e-01,2.908565e+02
34,5.212845e-01,1.774380e+02,1.184190e+05,3.432528e-01,3.990231e-03,1.666667e-02,3.436804e-01,2.884160e+02
35,5.643370e-01,1.912505e+02,1.145300e+05,3.482487e-01,5.893262e-03,1.666667e-02,3.486972e-01,2.858780e+02
36,6.007405e-01,2.026405e+02,1.108730e+05,3.532678e-01,7.734513e-03,1.666667e-02,3.537453e-01,2.832230e+02
37,6.339270e-01,2.126665e+02,1.071915e+05,3.583091e-01,9.513706e-03,1.666667e-02,3.588227e-01,2.801410e+02
38,6.648680e-01,2.217880e+02,1.036925e+05,3.633721e-01,1.123057e-02,1.666667e-02,3.639274e-01,2.769785e+02
39,6.926485e-01,2.300030e+02,1.008838e+05,3.684558e-01,1.288484e-02,1.666667e-02,3.690575e-01,2.744470e+02
40,7.179460e-01,2.375145e+02,9.852630e+04,3.735595e-01,1.447627e-02,1.666667e-02,3.742112e-01,2.724020e+02
41,7.414145e-01,2.443950e+02,9.619795e+04,3.786825e-01,1.600461e-02,1.666667e-02,3.793868e-01,2.704405e+02
42,7.636300e-01,2.508405e+02,9.393059e+04,3.838239e-01,1.746963e-02,1.666667e-02,3.845826e-01,2.685575e+02
43,7.843205e-01,2.567995e+02,9.180295e+04,3.889830e-01,1.887112e-02,1.666667e-02,3.897970e-01,2.668110e+02
44,8.048335e-01,2.626395e+02,8.967185e+04,3.941591e-01,2.020885e-02,1.666667e-02,3.950286e-01,2.650415e+02
45,8.253640e-01,2.684235e+02,8.761141e+04,3.993512e-01,2.148262e-02,1.666667e-02,4.002757e-01,2.632400e+02
46,8.435755e-01,2.734720e+02,8.575316e+04,4.045587e-01,2.269224e-02,1.666667e-02,4.055372e-01,2.615635e+02
47,8.606369e-01,2.781885e+02,8.404680e+04,4.097806e-01,2.383752e-02,1.666667e-02,4.108116e-01,2.600370e+02
48,8.787520e-01,2.831715e+02,8.225109e+04,4.150164e-01,2.491829e-02,1.666667e-02,4.160977e-01,2.584445e+02
49,8.976655e-01,2.883070e+02,8.039505e+04,4.202650e-01,2.593439e-02,1.666667e-02,4.213941e-01,2.567320e+02
50,9.150740e-01,2.930190e+02,7.879870e+04,4.255258e-01,2.688566e-02,1.666667e-02,4.266999e-01,2.551965e+02
51,9.311325e-01,2.973880e+02,7.741325e+04,4.307979e-01,2.777196e-02,1.666667e-02,4.320138e-01,2.538745e+02
52,9.473100e-01,3.018075e+02,7.605250e+04,4.360805e-01,2.859314e-02,1.666667e-02,4.373346e-01,2.526220e+02
53,9.660575e-01,3.068515e+02,7.442825e+04,4.413729e-01,2.934909e-02,1.666667e-02,4.426615e-01,2.511040e+02
54,9.841980e-01,3.116745e+02,7.287165e+04,4.466742e-01,3.003969e-02,1.666667e-02,4.479933e-01,2.495930e+02
55,1.000740e+00,3.160650e+02,7.147715e+04,4.519836e-01,3.066484e-02,1.666667e-02,4.533291e-01,2.482600e+02
56,1.020900e+00,3.213835e+02,6.976850e+04,4.573004e-01,3.122444e-02,1.666667e-02,4.586680e-01,2.466510e+02
57,1.043185e+00,3.271530e+02,6.788855e+04,4.626236e-01,3.171841e-02,1.666667e-02,4.640091e-01,2.447840e+02
58,1.062630e+00,3.320775e+02,6.623505e+04,4.679525e-01,3.214666e-02,1.666667e-02,4.693514e-01,2.430585e+02
59,1.079580e+00,3.363550e+02,6.484230e+04,4.732863e-01,3.250914e-02,1.666667e-02,4.746942e-01,2.415915e+02
60,1.096070e+00,3.404895e+02,6.351490e+04,4.786242e-01,3.280579e-02,1.666667e-02,4.800366e-01,2.401745e+02
61,1.111790e+00,3.443685e+02,6.222570e+04,4.839653e-01,3.303656e-02,1.666667e-02,4.853778e-01,2.387785e+02
62,1.127520e+00,3.482340e+02,6.095490e+04,4.893088e-01,3.320143e-02,1.666667e-02,4.907171e-01,2.374035e+02
63,1.144005e+00,3.522735e+02,5.965900e+04,4.946540e-01,3.330036e-02,1.666667e-02,4.960537e-01,2.359930e+02
64,1.161250e+00,3.564595e+02,5.832950e+04,5.000000e-01,3.333334e-02,1.666667e-02,5.013869e-01,2.345130e+02
65,1.178850e+00,3.606800e+02,5.698875e+04,5.053460e-01,3.330036e-02,1.666667e-02,5.067162e-01,2.329840e+02
66,1.196280e+00,3.648185e+02,5.567745e+04,5.106912e-01,3.320143e-02,1.666667e-02,5.120406e-01,2.314640e+02
67,1.213270e+00,3.688045e+02,5.441255e+04,5.160347e-01,3.303656e-02,1.666667e-02,5.173597e-01,2.299695e+02
68,1.230300e+00,3.727520e+02,5.317415e+04,5.213758e-01,3.280579e-02,1.666667e-02,5.226727e-01,2.284620e+02
69,1.247405e+00,3.766870e+02,5.196610e+04,5.267137e-01,3.250914e-02,1.666667e-02,5.279791e-01,2.269565e+02
70,1.264425e+00,3.805745e+02,5.078795e+04,5.320475e-01,3.214666e-02,1.666667e-02,5.332783e-01,2.254700e+02
71,1.281330e+00,3.844195e+02,4.964430e+04,5.373764e-01,3.171841e-02,1.666667e-02,5.385696e-01,2.240190e+02
72,1.298600e+00,3.883150e+02,4.850855e+04,5.426996e-01,3.122444e-02,1.666667e-02,5.438526e-01,2.225435e+02
73,1.315625e+00,3.921955e+02,4.744505e+04,5.480164e-01,3.066484e-02,1.666667e-02,5.491266e-01,2.211735e+02
74,1.333985e+00,3.961100e+02,4.625675e+04,5.533258e-01,3.003969e-02,1.666667e-02,5.543911e-01,2.194495e+02
75,1.325675e+00,3.937280e+02,4.638975e+04,5.586271e-01,2.934909e-02,1.666667e-02,5.596457e-01,2.195540e+02
76,1.152560e+00,3.497855e+02,5.737145e+04,5.639195e-01,2.859314e-02,1.666667e-02,5.648898e-01,2.306520e+02
77,9.020595e-01,2.866100e+02,7.676259e+04,5.692021e-01,2.777196e-02,1.666667e-02,5.701229e-01,2.526815e+02
78,8.052210e-01,2.626450e+02,8.625525e+04,5.744742e-01,2.688566e-02,1.666667e-02,5.753444e-01,2.647840e+02
79,8.053195e-01,2.624965e+02,8.639060e+04,5.797350e-01,2.593439e-02,1.666667e-02,5.805541e-01,2.644210e+02
80,8.030985e-01,2.616610e+02,8.652520e+04,5.849836e-01,2.491829e-02,1.666667e-02,5.857513e-01,2.641955e+02
