Point ID,Ma,mag(U),p,Points_0,Points_1,Points_2,Points_Magnitude,T
0,6.630954e-01,2.200568e+02,1.023627e+05,0.000000e+00,0.000000e+00,1.666667e-02,1.666667e-02,2.740959e+02
1,6.630342e-01,2.200386e+02,1.023673e+05,1.845962e-02,0.000000e+00,1.666667e-02,2.487037e-02,2.741009e+02
2,6.628311e-01,2.199769e+02,1.023846e+05,3.616695e-02,0.000000e+00,1.666667e-02,3.982243e-02,2.741153e+02
3,6.624653e-01,2.198652e+02,1.024172e+05,5.315265e-02,0.000000e+00,1.666667e-02,5.570441e-02,2.741394e+02
4,6.619411e-01,2.197052e+02,1.024632e+05,6.944612e-02,0.000000e+00,1.666667e-02,7.141808e-02,2.741743e+02
5,6.612610e-01,2.194977e+02,1.025225e+05,8.507559e-02,0.000000e+00,1.666667e-02,8.669276e-02,2.742197e+02
6,6.604228e-01,2.192418e+02,1.025954e+05,1.000681e-01,0.000000e+00,1.666667e-02,1.014466e-01,2.742757e+02
7,6.594172e-01,2.189348e+02,1.026827e+05,1.144496e-01,0.000000e+00,1.666667e-02,1.156568e-01,2.743428e+02
8,6.582325e-01,2.185729e+02,1.027854e+05,1.282451e-01,0.000000e+00,1.666667e-02,1.293235e-01,2.744219e+02
9,6.568513e-01,2.181508e+02,1.029051e+05,1.414783e-01,0.000000e+00,1.666667e-02,1.424566e-01,2.745139e+02
10,6.552557e-01,2.176630e+02,1.030433e+05,1.541722e-01,0.000000e+00,1.666667e-02,1.550705e-01,2.746201e+02
11,6.534221e-01,2.171020e+02,1.032020e+05,1.663488e-01,0.000000e+00,1.666667e-02,1.671817e-01,2.747419e+02
12,6.513278e-01,2.164608e+02,1.033832e+05,1.780292e-01,0.000000e+00,1.666667e-02,1.788076e-01,2.748807e+02
13,6.489434e-01,2.157302e+02,1.035893e+05,1.892336e-01,0.000000e+00,1.666667e-02,1.899661e-01,2.750383e+02
14,6.462423e-01,2.149018e+02,1.038226e+05,1.999813e-01,0.000000e+00,1.666667e-02,2.006746e-01,2.752163e+02
15,6.431875e-01,2.139639e+02,1.040860e+05,2.102910e-01,0.000000e+00,1.666667e-02,2.109505e-01,2.754171e+02
16,6.397461e-01,2.129061e+02,1.043824e+05,2.201806e-01,0.000000e+00,1.666667e-02,2.208105e-01,2.756424e+02
17,6.358690e-01,2.117128e+02,1.047156e+05,2.296672e-01,0.000000e+00,1.666667e-02,2.302711e-01,2.758953e+02
18,6.315134e-01,2.103702e+02,1.050893e+05,2.387671e-01,0.000000e+00,1.666667e-02,2.393481e-01,2.761780e+02
19,6.266083e-01,2.088559e+02,1.055086e+05,2.474962e-01,0.000000e+00,1.666667e-02,2.480568e-01,2.764948e+02
20,6.210941e-01,2.071504e+02,1.059790e+05,2.558696e-01,0.000000e+00,1.666667e-02,2.564118e-01,2.768489e+02
21,6.148607e-01,2.052185e+02,1.065080e+05,2.639017e-01,0.000000e+00,1.666667e-02,2.644275e-01,2.772466e+02
22,6.078200e-01,2.030314e+02,1.071037e+05,2.716065e-01,0.000000e+00,1.666667e-02,2.721173e-01,2.776921e+02
23,5.997843e-01,2.005289e+02,1.077782e+05,2.789973e-01,0.000000e+00,1.666667e-02,2.794946e-01,2.781966e+02
24,5.906186e-01,1.976659e+02,1.085447e+05,2.860869e-01,0.000000e+00,1.666667e-02,2.865719e-01,2.787648e+02
25,5.799528e-01,1.943242e+02,1.094238e+05,2.928875e-01,0.000000e+00,1.666667e-02,2.933614e-01,2.794211e+02
26,5.675939e-01,1.904349e+02,1.104400e+05,2.994111e-01,0.000000e+00,1.666667e-02,2.998746e-01,2.801621e+02
