Point ID,arc_length,B_0,B_1,B_2,B_Magnitude,p,pB,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,0.75,1,2.67753e-18,1.25,1,1.02439e-17,0,0,0,0,0.999645,0.00348432,3.25714e-10,-3.42013e-11,-8.02618e-19,3.27504e-10,1
1,0.001,0.75,1,2.80378e-18,1.25,1,4.77345e-17,0.001,0,0,0.001,0.999645,0.00348432,3.2007e-10,-3.34747e-11,-1.13681e-18,3.21816e-10,1
2,0.002,0.75,1,3.21542e-18,1.25,1,4.51147e-17,0.002,0,0,0.002,0.999645,0.00348432,3.33523e-10,-3.23897e-11,-1.54274e-18,3.35092e-10,1
3,0.003,0.75,1,3.74912e-18,1.25,1,-1.11309e-16,0.003,0,0,0.003,0.999645,0.00348432,3.72485e-10,-3.41127e-11,-1.46859e-18,3.74044e-10,1
4,0.004,0.75,1,3.99695e-18,1.25,1,-2.99049e-16,0.004,0,0,0.004,0.999645,0.00348432,3.77574e-10,-3.92125e-11,-8.77859e-19,3.79605e-10,1
5,0.005,0.75,1,3.75132e-18,1.25,1,-2.35808e-16,0.005,0,0,0.005,0.999645,0.00348432,3.44651e-10,-4.19404e-11,-2.8711e-19,3.47194e-10,1
6,0.006,0.75,1,3.17485e-18,1.25,1,-1.17388e-16,0.006,0,0,0.006,0.999645,0.00348432,3.2783e-10,-3.84305e-11,-6.46597e-20,3.30075e-10,1
7,0.007,0.75,1,2.49834e-18,1.25,1,-1.9587e-16,0.007,0,0,0.007,0.999645,0.00348432,3.17851e-10,-3.4505e-11,-2.93541e-20,3.19718e-10,1
8,0.008,0.75,1,1.83233e-18,1.25,1,-2.70041e-16,0.008,0,0,0.008,0.999645,0.00348432,2.95778e-10,-3.74583e-11,-1.41222e-19,2.9814e-10,1
9,0.009,0.75,1,1.08299e-18,1.25,1,-5.23981e-16,0.009,0,0,0.009,0.999645,0.00348432,3.30854e-10,-4.87055e-11,-4.58972e-19,3.3442e-10,1
10,0.01,0.75,1,3.92348e-19,1.25,1,-4.36444e-16,0.01,0,0,0.01,0.999645,0.00348432,4.03883e-10,-3.12453e-11,-7.06296e-19,4.05089e-10,1
11,0.011,0.75,1,1.64764e-19,1.25,1,-1.4201e-17,0.011,0,0,0.011,0.999645,0.00348432,4.53541e-10,3.27058e-12,-9.33941e-19,4.53553e-10,1
12,0.012,0.75,1,1.57686e-19,1.25,1,7.45048e-17,0.012,0,0,0.012,0.999645,0.00348432,4.67811e-10,1.43595e-11,-8.98936e-19,4.68031e-10,1
13,0.013,0.75,1,-2.31712e-19,1.25,1,1.75477e-16,0.013,0,0,0.013,0.999645,0.00348432,4.50569e-10,1.95433e-11,-6.71291e-19,4.50992e-10,1
14,0.014,0.75,1,-8.27744e-19,1.25,1,2.80499e-16,0.014,0,0,0.014,0.999645,0.00348432,4.33471e-10,2.4558e-11,-7.06111e-19,4.34166e-10,1
15,0.015,0.75,1,-1.32592e-18,1.25,1,2.56449e-16,0.015,0,0,0.015,0.999645,0.00348432,4.17335e-10,3.1829e-11,-8.12028e-19,4.18547e-10,1
16,0.016,0.75,1,-1.59379e-18,1.25,1,-4.94579e-18,0.016,0,0,0.016,0.999645,0.00348432,3.94748e-10,4.1093e-11,-1.16939e-18,3.96881e-10,1
17,0.017,0.75,1,-1.6801e-18,1.25,1,-3.82213e-16,0.017,0,0,0.017,0.999645,0.00348432,3.75113e-10,4.46752e-11,-1.09748e-18,3.77764e-10,1
18,0.018,0.75,1,-1.99187e-18,1.25,1,-5.77638e-16,0.018,0,0,0.018,0.999645,0.00348432,3.79651e-10,4.2064e-11,-6.65575e-19,3.81974e-10,1
19,0.019,0.75,1,-2.50919e-18,1.25,1,-4.22462e-16,0.019,0,0,0.019,0.999645,0.00348432,4.08562e-10,3.52822e-11,-5.60966e-19,4.10082e-10,1
20,0.02,0.75,1,-2.98487e-18,1.25,1,-1.24032e-17,0.02,0,0,0.02,0.999645,0.00348432,4.52404e-10,3.00376e-11,-7.08465e-19,4.534e-10,1
21,0.021,0.75,1,-3.16155e-18,1.25,1,2.01168e-16,0.021,0,0,0.021,0.999645,0.00348432,4.72122e-10,3.49455e-11,-1.24635e-18,4.73414e-10,1
22,0.022,0.75,1,-2.9291e-18,1.25,1,1.05139e-16,0.022,0,0,0.022,0.999645,0.00348432,4.61689e-10,5.23142e-11,-1.65075e-18,4.64644e-10,1
23,0.023,0.75,1,-2.56945e-18,1.25,1,1.28481e-16,0.023,0,0,0.023,0.999645,0.00348432,4.59933e-10,7.32629e-11,-1.40002e-18,4.65731e-10,1
24,0.024,0.75,1,-2.6527e-18,1.25,1,2.15639e-16,0.024,0,0,0.024,0.999645,0.00348432,4.56065e-10,8.64237e-11,-9.93449e-19,4.64182e-10,1
25,0.025,0.75,1,-3.03644e-18,1.25,1,1.89718e-16,0.025,0,0,0.025,0.999645,0.00348432,4.20537e-10,9.58714e-11,-8.85695e-19,4.31327e-10,1
26,0.026,0.75,1,-3.17317e-18,1.25,1,1.51614e-17,0.026,0,0,0.026,0.999645,0.00348432,3.64795e-10,1.09368e-10,-1.24541e-18,3.80837e-10,1
27,0.027,0.75,1,-3.01648e-18,1.25,1,-2.51763e-16,0.027,0,0,0.027,0.999645,0.00348432,3.14461e-10,1.24012e-10,-1.55179e-18,3.38031e-10,1
28,0.028,0.75,1,-2.8722e-18,1.25,1,-2.77275e-16,0.028,0,0,0.028,0.999645,0.00348432,2.76703e-10,1.37774e-10,-1.19514e-18,3.09106e-10,1
29,0.029,0.75,1,-3.04658e-18,1.25,1,-2.09322e-16,0.029,0,0,0.029,0.999645,0.00348432,2.76526e-10,1.49425e-10,-7.81632e-19,3.14316e-10,1
30,0.03,0.75,1,-3.37328e-18,1.25,1,-1.25276e-16,0.03,0,0,0.03,0.999645,0.00348432,3.06854e-10,1.56547e-10,-8.19211e-19,3.4448e-10,1
31,0.031,0.75,1,-3.48046e-18,1.25,1,1.57007e-17,0.031,0,0,0.031,0.999645,0.00348432,3.42171e-10,1.58388e-10,-1.24331e-18,3.77051e-10,1
32,0.032,0.75,1,-3.22744e-18,1.25,1,1.22886e-16,0.032,0,0,0.032,0.999645,0.00348432,3.9173e-10,1.57022e-10,-1.58358e-18,4.22029e-10,1
33,0.033,0.75,1,-2.83213e-18,1.25,1,4.31071e-16,0.033,0,0,0.033,0.999645,0.00348432,4.50621e-10,1.55433e-10,-1.37822e-18,4.76675e-10,1
34,0.034,0.75,1,-2.79997e-18,1.25,1,5.3614e-16,0.034,0,0,0.034,0.999645,0.00348432,4.55567e-10,1.55529e-10,-1.03926e-18,4.81384e-10,1
35,0.035,0.75,1,-3.05433e-18,1.25,1,3.85139e-16,0.035,0,0,0.035,0.999645,0.00348432,4.20387e-10,1.55522e-10,-1.00702e-18,4.48232e-10,1
36,0.036,0.75,1,-3.09909e-18,1.25,1,2.3095e-16,0.036,0,0,0.036,0.999645,0.00348432,4.25698e-10,1.48191e-10,-1.37943e-18,4.50754e-10,1
37,0.037,0.75,1,-2.88076e-18,1.25,1,1.76562e-17,0.037,0,0,0.037,0.999645,0.00348432,4.54184e-10,1.29845e-10,-1.67552e-18,4.7238e-10,1
38,0.038,0.75,1,-2.7168e-18,1.25,1,3.60037e-17,0.038,0,0,0.038,0.999645,0.00348432,4.93329e-10,1.06868e-10,-1.33062e-18,5.04772e-10,1
39,0.039,0.75,1,-2.89609e-18,1.25,1,1.10875e-16,0.039,0,0,0.039,0.999645,0.00348432,5.50617e-10,8.85608e-11,-9.17744e-19,5.57694e-10,1
40,0.04,0.75,1,-3.2003e-18,1.25,1,-1.30719e-17,0.04,0,0,0.04,0.999645,0.00348432,5.65958e-10,8.31544e-11,-1.15106e-18,5.72034e-10,1
41,0.041,0.75,1,-3.07788e-18,1.25,1,-2.44251e-16,0.041,0,0,0.041,0.999645,0.00348432,5.34064e-10,8.96933e-11,-1.79035e-18,5.41543e-10,1
42,0.042,0.75,1,-2.55002e-18,1.25,1,-3.45022e-16,0.042,0,0,0.042,0.999645,0.00348432,4.94244e-10,9.03564e-11,-2.0837e-18,5.02436e-10,1
43,0.043,0.75,1,-2.11887e-18,1.25,1,-2.00203e-16,0.043,0,0,0.043,0.999645,0.00348432,4.7693e-10,7.48553e-11,-1.76791e-18,4.82769e-10,1
44,0.044,0.75,1,-1.84566e-18,1.25,1,-4.93151e-17,0.044,0,0,0.044,0.999645,0.00348432,5.0902e-10,5.46522e-11,-1.72026e-18,5.11945e-10,1
45,0.045,0.75,1,-1.52567e-18,1.25,1,-1.11378e-16,0.045,0,0,0.045,0.999645,0.00348432,5.27396e-10,4.27291e-11,-1.91913e-18,5.29125e-10,1
46,0.046,0.75,1,-1.09383e-18,1.25,1,-6.30986e-17,0.046,0,0,0.046,0.999645,0.00348432,5.23349e-10,3.96332e-11,-2.00994e-18,5.24848e-10,1
47,0.047,0.75,1,-6.25807e-19,1.25,1,9.3021e-17,0.047,0,0,0.047,0.999645,0.00348432,5.35636e-10,3.56449e-11,-2.05134e-18,5.36821e-10,1
48,0.048,0.75,1,-3.7275e-19,1.25,1,1.05062e-16,0.048,0,0,0.048,0.999645,0.00348432,5.34015e-10,2.43183e-11,-1.56109e-18,5.34569e-10,1
49,0.049,0.75,1,-5.58034e-19,1.25,1,1.0126e-16,0.049,0,0,0.049,0.999645,0.00348432,5.01728e-10,1.13649e-11,-1.05908e-18,5.01856e-10,1
50,0.05,0.75,1,-9.80535e-19,1.25,1,-7.8723e-17,0.05,0,0,0.05,0.999645,0.00348432,4.82014e-10,3.96519e-12,-1.07606e-18,4.82031e-10,1
51,0.051,0.75,1,-1.20897e-18,1.25,1,-2.96078e-16,0.051,0,0,0.051,0.999645,0.00348432,5.16463e-10,-1.12913e-12,-1.589e-18,5.16465e-10,1
52,0.052,0.75,1,-1.0375e-18,1.25,1,-1.15023e-16,0.052,0,0,0.052,0.999645,0.00348432,5.40959e-10,-1.13459e-11,-2.04842e-18,5.41078e-10,1
53,0.053,0.75,1,-7.62858e-19,1.25,1,1.91267e-16,0.053,0,0,0.053,0.999645,0.00348432,5.10531e-10,-2.90651e-11,-1.85917e-18,5.11358e-10,1
54,0.054,0.75,1,-5.99296e-19,1.25,1,3.2928e-16,0.054,0,0,0.054,0.999645,0.00348432,4.61261e-10,-4.95772e-11,-1.82511e-18,4.63917e-10,1
